model,rule_name,_sys_doc_id,description,is_default_rule
SsrHistoryOwnershipPostSalesSupportRecycled,OWNERSHIP_ACCOUNTS_CRM_OWNER_OVERRIDDEN_BY_ACT_COUNT,131003,Account owner overridden by owner of the most activities,false
SsrHistoryOwnershipLeadGen,OWNERSHIP_LEADS_CRM_CREATOR,132001,Lead CRM creator becomes the owner,false
SsrHistoryOwnershipLeadGen,OWNERSHIP_ACCOUNTS_CRM_CREATOR,132002,Account CRM creator becomes the owner,false
SsrHistoryAdjDuration,ADJUSTED_DURATION_NOT_ENOUGH_ACTIVITY_CAPTURE_LEVEL,133001,Adjusted duration based on expected duration because owner activity capture level not present or too low,false
SsrHistoryAdjDuration,ADJUSTED_DURATION_NOT_ENOUGH_ACTIVITY_CAPTURE_LEVEL_AND_USED_INDUSTRY_DEFAULT,133002,Adjusted duration based on expected duration from industry defaults because owner activity capture level not present or too low and not enough representative reps,false
SsrHistoryAdjDuration,ADJUSTED_DURATION_ENOUGH_ACTIVITY_CAPTURE_LEVEL_AND_MOST_DURATION_BY_OWNER,133003,Adjusted duration based on duration because owner activity capture level present and high enough and most activities are performed by the owner,true
SsrHistoryAdjDuration,ADJUSTED_DURATION_ENOUGH_ACTIVITY_CAPTURE_LEVEL_BUT_MOST_DURATION_NOT_BY_OWNER,133004,Adjusted duration based on duration because owner activity capture level present and high enough but most activities are not performed by the owner,false
SsrHistoryEndLeadGen,END_LEADS_CRM_CREATEDON,134001,Lead createdon becomes the end date,false
SsrHistoryEndLeadGen,END_ACCOUNTS_CRM_CREATEDON,134002,Lead createdon becomes the end date,false
OppsMasterId,OPP_CRM_ACCOUNT_ID,135001,Crm account id present on opp,true
OppsMasterId,CONTACT_CRM_ACCOUNT_ID,135002,"No crm account id present on opp, but crm account id present on opp's contact",false
OppsMasterId,OPP_ACCOUNT_NAME_MATCH,135003,"No crm account id present on opp nor on opp's contact, but found a match between opp's name and account's name",false
OppsMasterId,NO_MATCH_FOUND,135004,"No crm account id present on opp nor on opp's contact, no match between opp's name and account's name found, return null",false
ActivitiesLeadId,ACTIVITIES_LEADID_LOOKUP_FROM_LEADS,136001,Activities lead_id is taken from lead docid,true
ActivitiesLeadId,ACTIVITIES_LEADID_LOOKUP_FROM_CRM_LEADID,136002,Activities lead_id is taken from crm_leadid,false
ActivitiesContactId,ACTIVITIES_CONTACTID_LOOKUP_FROM_CONTACTS,137001,Activities contact_id is taken from contact docid,true
ActivitiesContactId,ACTIVITIES_CONTACTID_LOOKUP_FROM_CRM_CONTACTID,137002,Activities contact_id is taken from crm_contactid,false
ActivitiesOppId,ACTIVITIES_OPPID_LOOKUP_FROM_OPPS,138001,Activities opp_id is taken from opp docid,true
ActivitiesOppId,ACTIVITIES_OPPID_LOOKUP_FROM_CRM_OPPID,138002,Activities opp_id is taken from crm_oppid,false
OppsHistoryBookingAmt,SCALED_BASED_ON_OPP_FINAL_AMT,139001,"Final opp history amount differs from opp booking amount, scaling accordingly",false
OppsHistoryBookingAmt,NO_SCALING_APPLIED,139002,"Final opp history amount is the same as the opp booking amount, no scaling applied",true
OppsHistoryBookingAmt,SCALING_NOT_POSSIBLE,139003,"Final opp history amount is missing or zero, no scaling applied",false
RevenueType,OVERRIDE_RENEWAL,140001,"crm_name contains 'renewal', overriding to Renewal",false
RevenueType,OVERRIDE_DOWNGRADE,140002,"crm_name contains 'downgrade', overriding to Downgrade",false
RevenueType,OVERRIDE_EXPANSION,140003,"crm_name contains 'expansion', overriding to Expansion",false
RevenueType,ONE_TIME_FAMILY_HISTORY,140004,One Time: same_family_history > 0 or previous_history == 0,false
RevenueType,ONE_TIME_CROSS_SALE,140005,One Time product but history indicates Cross-Sale,false
RevenueType,RECURRING_CROSS_SALE_DIFF_FAMILY,140006,Recurring: diff_family_history > 0 and no same family,false
RevenueType,RECURRING_INITIAL_SALE,140007,Recurring: no family and no diff family history,false
RevenueType,RECURRING_EXPANSION_WINDOW,140008,"Recurring: qty increased vs window sale, returning Expansion",false
RevenueType,RECURRING_DOWNGRADE_WINDOW,140009,"Recurring: qty decreased vs window sale, returning Downgrade",false
RevenueType,RECURRING_RENEWAL_WINDOW,140010,"Recurring: qty equal, returning Renewal",false
RevenueType,RECURRING_EXPANSION_HISTORY,140011,"Recurring: same_family_history > 0 but no window history, returning Expansion",false
RevenueType,ND,140012,"No matching logic, returning ND",false
ErpAccountsMasterId,ERP_ACCOUNT_CRM_ACCOUNT_ID,141001,Crm account id present on erp account,true
ErpAccountsMasterId,ERP_ACCOUNT_NAME_MATCH,141002,"No crm account id present on erp account, but found a match between erp account's name and account's name",false
ErpAccountsMasterId,NO_MATCH_FOUND,141003,"No crm account id present on erp account, no match between erp account's name and account's name found, return null",false
model,rule_name,_sys_doc_id,description,is_default_rule
LeadsOwnerid,OWNERSHIP_LEADS_CRM_OWNER,100001,Lead CRM owner becomes the owner,true
LeadsOwnerid,OWNERSHIP_LEADS_CRM_OPP_CREATOR_SELLING_STARTED_AT_OR_AFTER_OPP_CREATION,100002,"Selling started at or after the CRM opp creation date, so the CRM creator of the opp becomes the owner",false
LeadsOwnerid,OWNERSHIP_LEADS_CRM_OWNER_OVERRIDDEN_BY_ACT_COUNT,100003,Lead owner overridden by owner of most activities,false
AccountsOwnerid,OWNERSHIP_ACCOUNTS_CRM_OWNER,101001,Account CRM owner becomes the owner,true
AccountsOwnerid,OWNERSHIP_ACCOUNTS_CRM_OPP_CREATOR_SELLING_STARTED_AT_OR_AFTER_OPP_CREATION,101002,"Selling started at or after the CRM opp creation date, so the CRM creator of the opp becomes the owner",false
AccountsOwnerid,OWNERSHIP_ACCOUNTS_CRM_OWNER_OVERRIDDEN_BY_ACT_COUNT,101003,Account owner overridden by owner of most activities,false
OppsOwnerid,OWNERSHIP_OPPS_CRM_OWNER,102001,Opp CRM owner becomes the owner,true
OppsOwnerid,OWNERSHIP_OPPS_OWNER_FROM_OPP_HISTORY,102002,"Opp ownership changed in the late opp history stages, the creator of opp history stages becomes the owner",false
CompaniesListPriceStats,MEDIAN_CRM_UNIT_PRICE,103001,"Max crm list price is null, return median crm unit price",false
CompaniesListPriceStats,RETURN_95_PERC_CRM_UNIT_PRICE,103002,"Max crm list price is 0, return the 95th percentile of crm unit price",false
CompaniesListPriceStats,MAX_CRM_LIST_PRICE,103003,"Median crm unit price is 0, return max crm list price",false
CompaniesListPriceStats,RETURN_MEDIAN_CRM_UNIT_PRICE,103004,"Ratio of crm unit to list price below 0.2 or above 3.0, return median crm unit price",false
CompaniesListPriceStats,RETURN_MEAN_CRM_LIST_PRICE,103005,"None of the other conditions fulfilled, return mean crm list price",false
